| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 74     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 88     | UDP          |             |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 402    | UDP          |             |
| 192.168.163.131 | 56026       | 192.168.163.2   | 53               | UDP       | 64  | 62     | DNS          |             |
| 192.168.163.131 | 56026       | 192.168.163.2   | 53               | UDP       | 64  | 62     | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 56026            | UDP       | 128 | 131    | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 56026            | UDP       | 128 | 127    | DNS          |             |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 60     | HTTPS        | SYN         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 44     | HTTPS        | SYN,ACK     |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 704    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 2535   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 104    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 132    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 285    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 71     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 60     | HTTPS        | SYN         |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 442    | UDP          |             |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 68     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 238    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 88     | UDP          |             |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 535    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 71     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 44     | HTTPS        | SYN,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 1068   | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
